district_pt,Count
"PT0150,PTJCW2P2",588
"PT0153,PT0154,PT0155,PT0156",2402
"PT0157,PT0158,PT0159,PT0160",141
PT0160,1988
"PT0161,PT0162,PT0163,PT0164",451
"PT0165,PT0166,PT0167,PT0168",989
"PT0169,PT0170,PT0171,PT0172",1755
PT016A,875
"PT016A,PTJCW2P3",121
PT0170,1652
"PT0173,PT0174,PT0175,PT0176",84
PT0180,1447
"PT0181,PT0182,PT0183,PT0184",193
"PT0185,PT0186,PT0187,PT0188",500
"PT0189,PT0190,PT0191,PT0192",401
PT0190,1086
"PT0190,PTJCW3P2",787
"PT0195,PT0196,PT0197,PT194",371
"PT0198,PT0199,PT0200,PT0201",288
PT01MD,4
PT02,1883
PT0200,1986
"PT0201,PT0202,PT0203,PT0204",75
"PT0202,PT0203,PT0204,PT0205",73
PT0210,2534
PT0220,3488
PT022A,666
"PT022A,PTJCW4P4",887
PT0230,1391
PT0240,1920
PT0250,1466
PT025A,144
PT0260,2793
PT026A,650
PT0270,3335
PT0271,300
PT0280,2207
PT0290,1455
PT02MD,1512
PT03,2115
PT0300,1720
"PT0301,PT0302,PT0303,PT0304",86
PT0310,1138
PT0320,2293
PT0350,820
PT0360,862
PT037A,419
PT0380,613
PT039A,1296
PT039B,580
PT03MD,2
PT04,3201
PT0400,623
"PT0401,PT0402,PT0403,PT0404",72
PT0410,534
PT0420,705
PT0430,194
PT0440,101
PT0450,339
PT0460,1328
PT0470,69
PT0480,121
PT0490,1269
PT04MD,1366
PT05,4346
PT0500,266
"PT0501,PT0502,PT0503,PT0504",160
PT0510,278
PT0520,158
PT0530,206
PT0540,166
PT055A,728
PT0560,1132
PT0570,168
PT0580,76
PT0590,255
PT05MD,1721
PT06,1319
"PT0601,PT0602,PT0603,PT0604",25
PT0610,511
PT0620,734
PT0630,475
PT0640,187
PT0650,459
PT0660,175
PT0670,93
PT0690,83
PT06MD,1019
PT07,2585
PT0700,132
"PT0701,PT0702,PT0703,PT0704",543
PT07MD,1869
PT08,2428
"PT0801,PT0802,PT0803,PT0804",223
PT08MD,652
PT09,3495
"PT0901,PT0902,PT0903,PT0904",50
PT09MD,2602
PT1,843
PT10,2650
PT100,563
"PT1001,PT1002,PT1003,PT1004",47
PT103,879
PT10MD,1636
PT11,3153
PT110,1280
"PT1101,PT1102,PT1103,PT1104",175
"PT1111,PT1112,PT1113,PT1114",513
PT11A,166
PT11MD,954
PT12,3174
PT120,374
PT120020,391
PT120030,595
PT120040,345
PT120070,6
PT120080,1133
PT120090,2
"PT1201,PT1202,PT1203,PT1204",71
PT120110,410
PT12015B,7
PT12A,655
PT12MD,99
PT13,2103
PT130,911
PT130010,2346
PT130020,3722
PT130030,3497
PT130040,475
PT130050,229
"PT1301,PT1302,PT1304,PT1305",39
"PT13A,PTOP1",862
PT13MD,299
PT14,1307
"PT14,PTOP2",1055
PT140,669
PT140010,1067
PT140020,1022
PT140030,991
PT140040,839
"PT1401,PT1402,PT1403,PT1404",13
PT14MD,942
PT15,424
"PT15,PTOP3",633
PT150,474
PT150010,238
PT150020,104
PT150030,240
PT150040,32
PT150050,54
PT150060,196
PT150070,30
PT150080,105
PT150090,29
"PT1501,PT1502,PT1503,PT1504",95
PT15MD,1454
PT16,729
"PT16,PTOP4",1810
PT160,257
"PT1601,PT1602,PT1603,PT1604",30
PT16MD,1307
PT17,823
PT170,107
"PT1701,PT1702,PT1703,PT1704",101
PT17MD,2432
PT18,610
"PT18,PTOP6",671
PT180,62
"PT1801,PT1802,PT1803,PT1804",131
PT18MD,215
PT19,1000
"PT19,PTOP7",1871
PT190,44
"PT1901,PT1902,PT1903,PT1904",335
PT19MD,1293
"PT1WDM,PT1WDW,PT1WRM,PT1WRW",489
PT2,1413
PT20,895
PT200,232
PT200010,742
PT200020,588
PT200030,258
PT200040,1293
PT200050,259
PT200060,133
"PT2001,PT2002,PT2003,PT2004",367
"PT20A,PTOP8",1704
PT20MD,1724
PT21,882
PT210,1887
"PT2101,PT2102,PT2103,PT2104",39
"PT2111,PT2112,PT2113,PT2114",618
PT21MD,356
PT22,895
PT220,808
PT220000,3644
PT220010,595
PT220020,3218
PT220030,1998
PT220040,423
"PT220040,PTJCW1P2",315
PT220050,1319
"PT220050,PTJCW1P2",113
PT220060,107
"PT220060,PTJCW1P3",297
"PT220070,PTJCW1P3",297
PT220080,138
"PT220080,PTJCW1P5",209
PT220090,461
"PT220090,PTJCW1P5",427
PT220100,212
"PT220100,PTJCW1P7",413
PT220110,5
"PT220110,PTJCW1P7",687
PT220120,581
"PT220120,PTJCW2P1",140
"PT220130,PTJCW2P1",108
PT220140,406
"PT220140,PTJCW3P1",193
"PT220150,PTJCW3P1",193
"PT220160,PTJCW4P2",361
"PT220170,PTJCW4P2",58
PT220180,236
PT220190,44
"PT220200,PTJCW1P6",555
"PT220210,PTJCW1P6",425
PT220230,51
"PT2211,PT2212,PT2213,PT2214",656
PT22MD,490
PT23,652
PT230,275
PT23MD,1347
PT24,1523
PT240,75
PT2410,45
PT2420,9
PT2430,320
PT2440,460
PT24MD,1853
PT25,1193
PT25MD,1256
PT26,300
"PT2601,PT2602,PT2603,PT2604",127
PT26MD,409
PT27,141
PT27MD,164
PT28,471
PT28MD,4
PT29,120
PT29d,5
PT29MD,158
"PT2WDM,PT2WDW,PT2WRM,PT2WRW",498
PT3,1918
PT30,1083
PT300010,33
PT30MD,1557
PT31,412
"PT3111,PT3112,PT3113,PT3114",939
PT32,524
PT33,449
PT34,14
PT35,89
PT36,446
PT37,60
"PT3WDM,PT3WDW,PT3WRM,PT3WRW",367
PT4,1069
PT40,260
PT400020,164
"PT4111,PT4112,PT4113,PT4114",449
PT4a,3
PT4b,6
PT4c,7
PT5,936
PT50,294
PT500010,436
PT500020,1257
PT6,825
PT60,409
PT6a,2
PT7,316
