cde_mail_state,Count
,1825789
AA,1
AE,65
AK,21
AL,80
AP,22
AR,255
AZ,252
CA,559
CO,486
CT,30
DC,74
DE,9
FL,272
GA,215
GU,2
HI,87
IA,159
ID,39
IL,333
IN,140
KS,139958
KY,53
LA,80
MA,116
MD,128
ME,17
MI,76
MN,113
MO,2556
MS,33
MT,40
NC,209
ND,25
NE,457
NH,9
NJ,56
NM,72
NV,46
NY,317
OH,97
OK,581
OR,91
PA,86
PR,2
RI,21
SC,76
SD,43
TN,131
TX,791
UT,108
VA,289
VI,2
VT,11
WA,186
WI,56
WV,26
WY,36
