AgeInterval,Count
18-19,21153
20-24,149950
25-29,170337
30-34,171372
35-39,167841
40-44,166726
45-49,147284
50-54,141608
55-59,142712
60-64,165082
65-69,161698
70-74,138691
75-79,103104
80-84,64307
85+,64019
