precinct_text_name,Count
Benton City 75,633
Benton City 85,88
Benton Twp 75,866
Benton Twp 85,286
Bern City,131
Berwick Township,290
Bethany Twp,57
Beulah,212
Beverly City,79
Big Bend Twp / Republic,116
Big Bow,138
Big Creek,371
Big Creek Twp CC1,68
Big Creek Twp CC4,48
Big Springs 58,313
Big Timber Twsp.,38
Bigelow Twp,25
Bird City,478
Bison City,134
Black Wolf,74
Blaine,239
Blaine Township,31
Blaine Twp,91
Blair Precinct,165
Blakely Township,87
Bloom,97
Bloom Twp,110
Bloomfield Township,66
Bloomington Twp,380
Blue Hill Township,21
Blue Mound City Prec 100001,173
Blue Rapids City Twp,75
Blue Rapids City Twp/BR,613
Blue Rapids Twp,58
Blue Twp H51,3065
Blue Twp H61,595
Blue Valley - Olsburg,268
Bluff City,35
Bluff Twnshp,44
BM TWP Precinct Bm00001,165
Bogue City,109
Boling/High Prairie H38,1025
Boling/High Prairie H40,371
Boling/High Prairie H41,288
Boling/High Prairie H42,73
Bolton East,204
Bolton West,798
Bonaville Twp,58
Bonner Springs City,4
Bow Creek,24
Br. Grove Twp,32
Brantford Precinct,60
Brazilton,54
Brewster / W Hale,263
Bronson City,195
Brownscreek Township,42
Bruno Twp North - 77,891
Bruno Twp North - 77 B,95
Bruno Twp North - 77 C,42
Bruno Twp North - 99,296
Bruno Twp South - 77,408
Bruno Twp South - 88,6
Bryant Township,59
BS01-01,1219
BS02-01,1050
BS03-01,1296
BS04-01,1624
Buckeye,822
Buckeye 1,35
Buckeye Twp,73
Bucklin City,482
Bucklin Twp,69
Buffalo,72
Buffalo - Auburn,668
Buffalo City,120
Buffalo Township,50
Buffalo Twp,310
Buhler 74,928
Bunker Hill City,83
Burdett City,167
Burlington City,1678
Burlington Twp.,308
"Burlington Ward 2, CC Hts.",73
"Burlington Ward 2, Exclave 2",6
Burns,131
Burr Oak City,109
Burr Oak Precinct,117
Burr Oak Township,45
Burrton,497
Burrton A6,139
Byron 052,40
C Eudora 54,1297
CA/10,142
Caldwell Twnshp,107
Caldwell Ward 1,254
Caldwell Ward 2,511
Calhoun Twp,40
Calvin Township,44
Caney City,1231
Caney City W3 Pc 2 Ex A,4
Caney City Wd 1 Prc 2 Ex A H12,2
Caney Twp,935
Caneyville,60
Canren,57
Canton,73
Canton City,396
Canton Twp,147
Canville H2,146
Canville Part A H7,301
Canville Part B H7,5
Capaldo,393
Capioma Township,115
Carlton City USD473,32
Carlyle Twp,230
Carneiro,49
Carr Creek Township,18
Cassoday/Sycamore Twp,213
Castle Twp,50
Castleton 36,228
Catlin,128
Catlin/Peabody East,2
Catlin/Peabody West,5
Cawker City,317
Cawker Township,33
CE TWP Precinct Ce00002,340
Cedar,816
Cedar City,22
Cedar Point,13
Cedar Township,63
Cedar TWP,126
Cedron Township,27
Center,996
Center 1,709
Center 1 TWP,151
Center 2,656
Center 2A,158
Center 37,172
Center III Township,50
Center IV Township,83
Center Township,245
Center Twp,812
Center TWP,326
Center Twp CC5,108
Center Twsp.,57
Center1 - Prec 1,433
Center1A TWP,45
Center2 - Prec 1,97
Centerville,400
Central Mission - Mission,787
Central Pauline - Topeka,158
Centralia-Home,279
Centralia-Illinois,45
Centre,389
Centropolis North Twp,370
Centropolis South Twp,387
Chanute P1 W2,616
Chanute P1 W3,1234
Chanute P1 W3 Exclave,1
Chanute P1 W4,728
Chanute P2 W2,657
Chanute P2 W3,549
Chanute P2 W4 H7,480
Chanute P2 W4 Part A H2,8
Chanute P2 W4 Part B H2,1
Chanute P3 W3 Exclave,4
Chanute P3 W3 H2,199
Chanute P3 W3 H7,900
Chanute P3 W4 Exclave C,5
Chanute P3 W4 H2,44
Chanute P3 W4 H7,439
Chanute Ward 1,210
Chapman,73
Chapman City USD473,930
Chapman Twp,36
Charleston Precinct,48
Cheever,99
Chelsea Twp,198
Cherokee,368
Cherokee-Sheridan,237
Cherokee Twp CC1,90
Cherokee Twp CC3,188
Cherry Twp,375
Cherryvale City,1288
Chetopa City,730
Chetopa H13,470
Chetopa H2,1
Chetopa H9,159
Chetopa TWP,100
Cheyenne - Tecumseh,749
Cheyenne Twp,302
Chicopee,406
Chikaskia,27
Chikaskia Twnshp,46
Cimarron,46
Cimarron City 1,257
Cimarron City 2,1163
Cimarron TWP,76
Cimarron Twp 1,179
Cimarron Twp 2,94
Circleville City,108
City of Auburn - Auburn,776
City of Beloit,1232
City of Jetmore - North,238
City of Jetmore - NW/SW Center,104
City of Jetmore - South,240
