text_election_code_3,Count
,685309
12897,2
22503,2
4103,25
4197,2
4291,6
4296,4
4301,7
4495,4
4505,26
4604,1
4693,2
4699,4
4792,2
4798,1
51804,13
8791,2
CG,306
CG0003,9
CG0004,5
CG0005,8
CG0007,27
CG0008,8
CG0009,14
CG0010,119
CG0011,56
CG0023,1
CG005,6
CG0104,10
CG012,2
CG0304,13
CG033,8
CG0404,1
CG0408,4
CG0410,2
CG0413,1
CG042,5
CG0495,1
CG0497,1
CG0504,69
CG06,5
CG08,2
CG1019,4
CG1030,2
CG11,14
CG1179,2
CG12,9
CG1229,1
CG1279,2
CG1289,1
CG13,12
CG1319,1
CG14,30
CG15,36
CG1520,6
CG16,12
CG19,61
CG1976,1
CG1989,4
CG1990,1
CG1991,9
CG1993,47
CG1994,10
CG1995,60
CG1996,3
CG1997,91
CG1998,6
CG1999,62
CG20,2
CG2000,1
CG2001,158
CG2002,4
CG2003,344
CG2004,23
CG2005,1320
CG2006,49
CG2007,970
CG2008,64
CG2009,1192
CG2010,116
CG2011,1288
CG2012,99
CG2013,1531
CG2014,125
CG2015,2618
CG2016,61
CG2017,5348
CG2019,16634
CG2021,76661
CG2023,5110
CG21,2293
CG21A,405
CG2209,2
CG2250,38
CG2259,12
CG2269,2
CG2270,14
CG2279,1
CG2288,3
CG2289,20
CG294B,144
CG3105,46
CG3204,9
CG3210,1
CG3293,2
CG3299,24
CG334C,1
CG3392,1
CG3398,1
CG400,3
CG401,2
CG403,7
CG405,37
CG4103,229
CG4197,75
CG4202,9
CG4290,1
CG4291,6
CG4296,7
CG4301,119
CG44,2
CG4400,39
CG4489,6
CG4495,32
CG4505,644
CG4594,4
CG4604,20
CG4693,30
CG4699,106
CG4787,3
CG4792,11
CG4798,12
CG48,9
CG496,1
CG497,1
CG498,2
CG499,4
CG510,10
CG5149,1
CG5229,1
CG5404,4
CG5702,4
CG5704,6
CG5923,69
CG6139,3
CG6219,3
CG6290,2
CG6496,2
CG6705,10
CG7139,3
CG7189,3
CG8249,1
CG8299,2
CG9104,1
CG9149,1
CG9304,3
CG9404,1
CG9504,1
CG956,7
CG964,3
CG9704,14
CG973,6
CG985,3
