text_election_code_8,Count
,1102930
12897,4
22503,5
22895,2
3204,1
4103,33
4197,3
4202,2
4291,2
4296,5
4301,11
4495,5
4505,60
4604,1
4693,5
4699,7
4792,3
51804,25
8791,1
CG,652
CG 201,1
CG0003,20
CG0004,10
CG0005,40
CG0007,44
CG0008,13
CG0009,57
CG0010,290
CG0011,141
CG005,13
CG0104,29
CG012,10
CG021,2
CG0304,42
CG033,21
CG0406,1
CG0408,24
CG0410,3
CG0413,13
CG042,2
CG0489,2
CG0493,2
CG0495,8
CG0497,2
CG0504,126
CG052,2
CG06,13
CG08,2
CG1019,4
CG1024,2
CG1030,7
CG1068,1
CG11,55
CG1179,3
CG12,49
CG1229,3
CG1289,1
CG13,53
CG1319,4
CG14,115
CG15,179
CG1520,14
CG16,28
CG19,121
CG1976,1
CG1987,9
CG1989,9
CG1991,33
CG1993,81
CG1994,35
CG1995,117
CG1996,13
CG1997,175
CG1998,23
CG1999,172
CG20,5
CG2000,13
CG2001,469
CG2002,19
CG2003,822
CG2004,103
CG2005,3542
CG2006,113
CG2007,2542
CG2008,181
CG2009,3182
CG2010,289
CG2011,3946
CG2012,339
CG2013,5370
CG2014,459
CG2015,11306
CG2016,321
CG2017,29230
CG2019,56998
CG2021,2400
CG2209,4
CG2250,58
CG2259,19
CG2260,9
CG2269,5
CG2270,28
CG2279,3
CG2288,8
CG2289,28
CG2290,7
CG2299,5
CG2398,1
CG2905,1
CG3105,55
CG3188,1
CG3204,15
CG3210,3
CG3293,16
CG3299,50
CG3387,1
CG3398,4
CG400,1
CG401,10
CG403,16
CG404,2
CG405,99
CG4103,400
CG4119,2
CG4197,141
CG4202,14
CG4285,1
CG4290,3
CG4291,29
CG4296,12
CG4301,228
CG4390,2
CG44,3
CG4400,71
CG4489,17
CG4495,76
CG4505,1477
CG4588,2
CG4594,4
CG4604,33
CG4693,50
CG4699,178
CG4787,10
CG4792,25
CG4798,17
CG48,21
CG496,11
CG497,7
CG498,2
CG499,8
CG510,20
CG5229,2
CG5404,2
CG5702,3
CG5704,15
CG6139,2
CG6219,3
CG6290,9
CG6496,1
CG6705,18
CG6992,1
CG7139,6
CG7189,2
CG8288,1
CG8299,1
CG8597,3
CG8895,1
CG8904,1
CG9104,5
CG9149,3
CG9198,1
CG9304,7
CG9404,1
CG9504,1
CG956,17
CG9604,2
CG964,8
CG9702,5
CG9704,28
CG973,14
CG985,7
CG9904,16
CG993,20
CGAP,129
CGCE06,3
CGCG,21
CGCG10,6
CGFR,6
CGHB06,4
CGHE08,2
CGNE,10
CGS06,17
CGS103,1
CGST08,1
CP,3
CP0002,14
CP0004,3
CP0005,23
CP0006,7
CP0007,4
CP0008,31
CP0009,27
CP0010,108
CP0102,12
CP0291,1
CP0295,2
CP0302,13
CP0408,17
CP07,19
CP09,2
CP15,9
CP17,22
CP1987,2
CP1989,3
CP1990,1
CP1991,8
CP1993,20
CP1995,25
CP1996,2
CP1997,72
CP1998,1
CP1999,46
CP2000,6
CP2001,78
CP2002,1
CP2003,335
CP2004,5
CP2005,354
CP2006,33
CP2007,529
CP2008,11
CP2009,283
CP2010,61
CP2011,360
CP2012,33
CP2013,371
CP2014,6
CP2015,1075
CP2016,12
CP2017,3298
CP2019,9908
CP2021,6268
CP203,7
CP2250,1
CP287,2
CP304,2
CP305,2
CP399,2
CP9102,2
CP9204,5
CP9702,2
CPCH07,1
CPCP06,1
CPFR10,3
CPHE06,1
CPMN06,3
CPMN08,3
CPNC15,14
GN1129,3
GN1149,13
GN1160,43
GN1180,27
GN1982,3
GN1984,34
GN1986,101
GN1988,295
GN1990,320
GN1992,2137
GN1994,1146
GN1996,4909
GN1998,2346
GN2000,9806
GN2002,6125
GN2004,23268
GN2006,14392
GN2008,44139
GN2010,31475
GN2012,63610
GN2014,61031
GN2016,91997
GN2018,90957
GN2020,20200
GN4197,22
GN4202,8
GN4291,4
GN4301,44
GN4495,8
GN4693,7
GN4699,37
GN4798,2
MB#383,426
MB/SP,27
MB/WC,24
MB0108,559
MB0110,51
MB0112,942
MB0114,2
MB0115,818
MB0116,358
MB0120,4233
MB0121,1822
MB0211,35
MB0215,77
MB0216,277
MB0219,8
MB0315,123
MB0320,214
MB0412,47
MB0414,692
MB0416,64
MB0506,138
MB0508,177
MB0513,35
MB0516,125
MB0517,1458
MB0518,3533
MB0519,2186
MB0607,59
MB0611,101
MB0613,1206
MB0615,193
MB0616,1606
MB0618,353
MB0619,216
MB0711,39
MB0719,52
MB0807,18
MB0907,199
MB0915,179
MB0916,362
MB0917,200
MB0918,1156
MB0919,1391
MB0921,5
MB1007,468
MB1013,1243
MB1107,198
MB1109,17
MB1113,1064
MB112,4
MB1205,756
MB1211,45
MB1213,61
MB1301,57
MB1302,136
MB1501,144
MB15B,19
MB1601,73
MB17,475
MB1701,142
MB17LA,168
MB1901,182
MB1995,6
MB2005,29
MB2006,71
MB2007,313
MB2008,100
