text_election_code_6,Count
,975298
12897,4
22503,4
3188,1
4103,35
4197,1
4202,2
4291,3
4296,6
4301,12
4390,1
4495,5
4505,36
4604,2
4693,3
4699,2
51804,18
CG,1126
CG0003,17
CG0004,5
CG0005,28
CG0007,24
CG0008,7
CG0009,34
CG0010,209
CG0011,89
CG005,13
CG0104,18
CG012,12
CG0304,26
CG033,12
CG0408,16
CG0410,3
CG0413,9
CG042,7
CG0491,1
CG0493,1
CG0495,2
CG0497,3
CG0504,83
CG052,1
CG06,5
CG08,5
CG1019,10
CG1024,1
CG1029,2
CG1030,3
CG11,40
CG1179,9
CG12,23
CG1279,2
CG13,24
CG1319,2
CG14,85
CG15,114
CG1520,15
CG16,20
CG19,219
CG1974,1
CG1987,3
CG1989,9
CG1991,17
CG1993,69
CG1994,26
CG1995,90
CG1996,7
CG1997,143
CG1998,12
CG1999,146
CG20,2
CG2000,9
CG2001,290
CG2002,10
CG2003,614
CG2004,58
CG2005,2468
CG2006,95
CG2007,1761
CG2008,105
CG2009,2236
CG2010,160
CG2011,2560
CG2012,194
CG2013,3509
CG2014,269
CG2015,7009
CG2016,183
CG2017,17288
CG2019,58881
CG2021,36995
CG21,138
CG21A,52
CG2209,2
CG2250,40
CG2259,19
CG2260,2
CG2269,5
CG2270,20
CG2279,3
CG2288,6
CG2289,16
CG2290,4
CG2299,4
CG24,2
CG3105,37
CG3183,1
CG3204,13
CG3210,1
CG3293,5
CG3299,35
CG3387,2
CG3398,2
CG400,3
CG401,6
CG403,5
CG404,4
CG405,51
CG4103,306
CG4119,1
CG4197,107
CG4202,16
CG4285,1
CG4291,25
CG4296,12
CG4301,178
CG4390,3
CG4400,43
CG4489,7
CG4495,50
CG4505,994
CG4583,1
CG4594,5
CG4604,26
CG4693,44
CG4699,139
CG4787,5
CG4792,21
CG4798,15
CG48,26
CG496,4
CG497,5
CG498,5
CG499,3
CG510,16
CG5149,1
CG5229,1
CG5702,4
CG5704,8
CG6139,5
CG6219,2
CG6229,1
CG6290,7
CG6496,3
CG6705,18
CG7139,4
CG7189,4
CG8169,1
CG8249,1
CG8288,3
CG8895,1
CG9104,2
CG9149,7
CG9304,6
CG9504,2
CG956,13
CG9604,1
CG964,5
CG9702,1
CG9704,14
CG973,11
CG9804,1
CG985,4
CG9904,12
CG993,20
CGAP,76
CGCE06,3
CGCG,9
CGCG10,4
CGFR,5
CGG,1
CGHB06,5
CGHE06,1
CGHE08,1
CGLC10,1
CGLC14,1
CGNE,3
CGS,55
CGS06,13
CGS103,1
CGSP06,1
CGST08,1
CP,1
CP0002,6
CP0004,2
CP0005,15
CP0006,1
CP0007,4
CP0008,23
CP0009,14
CP0010,94
CP0102,6
CP0297,2
CP0302,5
CP0408,13
CP07,10
CP09,5
CP15,7
CP17,16
CP1976,1
CP1987,1
CP1989,3
CP1991,4
CP1992,1
CP1993,9
CP1994,2
CP1995,16
CP1997,46
CP1999,46
CP2000,4
CP2001,45
CP2003,240
CP2004,3
CP2005,263
CP2006,28
CP2007,372
CP2008,7
CP2009,181
CP201,2
CP2010,61
CP2011,219
CP2012,24
CP2013,277
CP2014,3
CP2015,659
CP2016,10
CP2017,1908
CP2019,4377
CP2021,19318
CP203,6
CP287,3
CP296,1
CP399,2
CP9204,1
CP9702,6
CPCH07,1
CPCP06,1
CPFR10,2
CPG 21,2
CPHE06,1
CPMN06,3
CPMN08,1
CPNC15,5
GN1129,1
GN1149,8
GN1160,26
GN1180,21
GN1982,2
GN1984,17
GN1986,71
GN1988,260
GN1990,267
GN1992,1687
GN1994,834
GN1996,3672
GN1998,1645
GN2000,7310
GN2002,4079
GN2004,18298
GN2006,8976
GN2008,35857
GN2010,19018
GN2012,56059
GN2014,51677
GN2016,107009
GN2018,123854
GN2020,101134
GN2022,198
GN4197,17
GN4202,3
GN4291,2
GN4301,15
GN4495,6
GN4693,5
GN4699,28
GN4798,2
MB#383,377
MB/SP,13
MB/WC,9
MB0108,362
MB0110,30
MB0112,704
MB0114,2
MB0115,533
MB0116,360
MB0120,3338
MB0121,6723
MB0211,32
MB0215,38
MB0216,263
MB0219,21
MB0315,121
MB0320,208
MB0322,4587
MB0324,1
MB0412,26
MB0414,511
MB0416,36
MB0506,84
MB0508,115
MB0513,24
MB0516,125
MB0517,1253
MB0518,2922
MB0519,2260
MB0607,33
MB0611,72
MB0613,859
MB0615,184
MB0616,1314
MB0618,371
MB0619,228
MB0622,6
MB0711,16
MB0719,55
MB0807,10
MB0907,122
MB0915,135
MB0916,338
MB0917,150
MB0918,1297
MB0919,1400
MB0921,403
MB1007,341
MB1013,887
MB109,2
MB1107,143
MB1109,13
MB1113,778
MB112,2
MB1205,468
MB1211,41
MB1213,44
MB1301,46
MB1302,97
MB1501,144
MB15B,11
MB1601,67
MB17,499
MB1701,167
MB17LA,170
MB1901,227
MB1995,15
MB1999,2
MB2000,1
MB2005,15
MB2006,77
MB2007,227
MB2008,78
MB2009,314
MB2010,51
MB2011,40
MB2012,71
MB2013,300
MB2014,610
MB2015,1865
MB2016,714
MB2017,448
MB2018,285
MB2019,1156
MB2020,1224
MB229,978
MB231,189
MB232,316
MB233,1025
MB240,2
MB242,8
MB263,50
MB274,2
MB293,20
MB305,607
MB3408,63
MB360,16
MB368,155
MB383,43
MB394,82
MB396,40
MB398,1
MB402,201
MB415,18
MB416,130
MB437,535
MB4604,25
MB464,136
MB468,2
MB490,133
MB501,769
MB509,7
MB5116,220
MB512,1580
MB5398,36
MB5410,64
MB5411,39
MB6115,539
MB615,71
MB6215,79
MB9373,2
MB9410,6
MBAL06,6
MBAU06,22
MBAUG,109
MBBE07,64
MBBE09,14
MBD423,132
MBHD07,12
MBM,1
MBMV06,22
MBNCO,2
MBOCA,8
MBPC09,27
MBREC,11
MBS615,3
