text_election_code_10,Count
,1205745
11691,2
12285,1
12897,11
22503,7
3204,1
4103,74
4197,1
4202,4
4291,5
4296,12
4301,20
4495,7
4505,64
4604,3
4693,1
4699,4
4792,5
51804,45
61290,1
CG,31
CG0003,41
CG0004,16
CG0005,77
CG0007,59
CG0008,18
CG0009,76
CG0010,367
CG0011,175
CG005,23
CG0104,44
CG012,12
CG021,1
CG0304,62
CG033,19
CG0404,2
CG0406,5
CG0408,31
CG0410,6
CG0413,23
CG042,5
CG0489,1
CG0491,2
CG0493,3
CG0495,11
CG0497,6
CG0504,205
CG052,1
CG06,17
CG08,1
CG1019,9
CG1024,2
CG1029,1
CG1030,7
CG1068,7
CG11,67
CG1179,12
CG12,48
CG1279,2
CG1289,1
CG13,82
CG1319,3
CG14,172
CG15,268
CG1520,35
CG16,43
CG1972,1
CG1985,1
CG1987,5
CG1989,17
CG1990,3
CG1991,36
CG1993,117
CG1994,52
CG1995,170
CG1996,8
CG1997,275
CG1998,13
CG1999,278
CG20,3
CG2000,13
CG2001,595
CG2002,26
CG2003,1168
CG2004,162
CG2005,5136
CG2006,197
CG2007,3764
CG2008,217
CG2009,4563
CG2010,350
CG2011,5908
CG2012,443
CG2013,7634
CG2014,679
CG2015,16727
CG2016,420
CG2017,38361
CG2019,14096
CG209,2
CG2209,7
CG2250,84
CG2259,20
CG2260,5
CG2269,12
CG2270,44
CG2288,10
CG2289,47
CG2299,3
CG3105,89
CG3188,1
CG3204,21
CG3209,1
CG3210,6
CG3293,13
CG3299,65
CG334C,1
CG3387,3
CG3398,1
CG3904,1
CG400,3
CG401,9
CG402,4
CG403,16
CG404,3
CG405,131
CG4103,542
CG4186,1
CG4197,160
CG4202,16
CG4285,1
CG4290,1
CG4291,24
CG4296,21
CG4301,279
CG4390,1
CG44,7
CG4400,68
CG4406,4
CG4489,20
CG4495,128
CG4505,2090
CG4594,5
CG4604,43
CG4693,72
CG4699,210
CG4781,1
CG4787,9
CG4792,27
CG4798,29
CG48,43
CG496,7
CG497,9
CG498,12
CG499,16
CG510,28
CG5229,2
CG5404,4
CG5702,5
CG5704,16
CG604,1
CG6139,8
CG6219,2
CG6279,2
CG6290,3
CG6496,5
CG6705,21
CG6992,2
CG7139,4
CG7189,2
CG8249,1
CG8299,1
CG8597,1
CG8704,1
CG8895,3
CG8904,3
CG9104,1
CG9149,2
CG9198,2
CG9304,12
CG9404,2
CG9504,8
CG956,20
CG9604,2
CG964,7
CG9702,4
CG9704,40
CG973,23
CG985,5
CG9904,25
CG993,28
CGAP,116
CGCE06,3
CGCG,39
CGCG10,14
CGCS15,2
CGFR,11
CGG,1
CGHB06,12
CGHE08,2
CGHL06,1
CGLC14,1
CGLC16,1
CGNE,5
CGS06,26
CGS103,1
CGST08,2
CP,2
CP0002,11
CP0004,4
CP0005,31
CP0006,2
CP0007,4
CP0008,40
CP0009,29
CP0010,139
CP0102,10
CP0295,2
CP0297,1
CP0302,14
CP0408,26
CP0492,2
CP07,18
CP09,6
CP15,22
CP17,44
CP1980,1
CP1981,1
CP1982,1
CP1987,1
CP1989,8
CP1991,11
CP1992,1
CP1993,23
CP1994,1
CP1995,41
CP1996,6
CP1997,72
CP1998,4
CP1999,50
CP2000,8
CP2001,93
CP2002,2
CP2003,430
CP2004,5
CP2005,506
CP2006,40
CP2007,867
CP2008,10
CP2009,379
CP2010,89
CP2011,531
CP2012,65
CP2013,529
CP2014,11
CP2015,1767
CP2016,24
CP2017,5226
CP2019,10807
CP203,4
CP2250,5
CP287,3
CP296,1
CP304,3
CP305,2
CP399,3
CP9102,1
CP9204,3
CP9303,1
CP9702,10
CPCH07,2
CPCP06,1
CPFR10,5
CPMN06,4
CPMN08,1
CPNC15,13
CPST08,2
GN1129,6
GN1138,2
GN1148,1
GN1149,12
GN1160,43
GN1180,29
GN1980,1
GN1982,1
GN1984,53
GN1986,112
GN1988,458
GN1990,453
GN1992,2642
GN1994,1559
GN1996,6351
GN1998,3305
GN2000,12705
GN2002,9073
GN2004,28117
GN2006,21789
GN2008,46951
GN2010,37469
GN2012,59593
GN2014,60750
GN2016,70074
GN2018,41059
GN2020,2448
GN4197,34
GN4202,6
GN4291,2
GN4296,6
GN4301,37
GN4495,14
GN4693,4
GN4699,40
GN4798,3
MB#383,545
MB/SP,33
MB/WC,23
MB0108,860
MB0110,75
MB0112,1258
MB0114,8
MB0115,928
MB0116,287
MB0120,2667
MB0121,7
MB0211,43
MB0215,89
MB0216,251
MB0315,138
MB0412,34
MB0414,739
MB0416,59
MB0506,203
MB0508,278
MB0513,63
MB0516,117
MB0517,1521
MB0518,3255
MB0519,1683
MB0607,76
MB0611,106
MB0613,1310
MB0615,234
MB0616,1584
MB0618,406
MB0619,176
MB0711,49
MB0719,12
