text_name_first,Count
Abebe,5
Abebech,3
Abed,2
Abeda,1
Abedalrahim,1
Abedel Raouf,1
Abednego,1
Abeer,6
Abegail,5
Abegale,1
Abegayle,1
Abegel,1
Abeida,1
Abel,137
Abelardo,24
Abelina,4
Abeline,1
Abelino,3
Abelio,1
Abelivo,1
Abelizandra,1
Abelyn,1
Aben,1
Abena,4
Abenazer,1
Abenezer,3
Abeni,2
Abera,2
Aberash,1
Aberesa,1
Aberta,1
Abertano,1
Abetabet,1
Abey,2
Abeyaneda,1
Abeye,1
Abha,3
Abhay,3
Abhaya,1
Abhi,1
Abhijeet,2
Abhilasa,1
Abhilash,5
Abhilasha,1
Abhimanyu,2
Abhinav,7
Abhiramy,1
Abhirup,1
Abhishek,8
Abhishes,1
Abhram,1
Abi,9
Abia,1
Abiageal,1
Abianna,1
Abibatou,1
Abid,7
Abida,1
Abidemi,1
Abidur,1
Abie,5
Abiegail,1
Abiel,1
Abiezer,1
Abigael,16
Abigahi,1
Abigahil,1
Abigail,2308
Abigaile,6
Abigaille,1
Abigal,3
Abigale,42
Abigall,2
Abigayel,1
Abigayle,46
Abigayle-Anna,1
Abigeal,1
Abiguel,1
Abihith,1
Abijah,3
Abilene,7
Abilgail,2
Abiliba,1
Abilio,1
Abimael,3
Abimalec,1
Abimbola,3
Abimelec,1
Abinash,2
Abinet,1
Abinwi,1
Abiodun,4
Abiotona,1
Abir,5
Abirami,1
Abishai,1
Abiy,1
Abiye,1
Able,2
Ablel,1
Abloulialmha,1
Abner,17
Abney,1
Aboagye,1
Abolaji,1
Abolfazl,1
Abolghasem,1
Aboulbaba,1
Aboullah,1
Abra,15
Abragail,1
Abrah,2
Abrahaley,1
Abraham,285
Abrahim,1
Abrahm,5
Abram,62
Abran,11
Abrar,3
Abraxas,1
Abre`,1
Abreale,1
Abrean,1
Abreanna,2
Abrecia,1
Abree,3
Abreham,2
Abrehet,1
Abrehn,1
Abrena,1
Abrey,2
Abreyona,1
Abrham,2
Abrhame,1
Abri,1
Abria,2
Abrial,1
Abrialle,1
Abriam,1
Abrian,1
Abriana,12
Abrianna,17
Abriannah,1
Abriauna,2
Abricus,1
Abriel,6
Abriela,2
Abriella,1
Abrielle,12
Abriena,1
Abrienne,1
Abril,20
Abrillia,1
Abrina,4
Abriona,2
Abrise,1
Abrish,1
Abron,1
Abrum,1
Abryana,5
Abryel,1
Abryelle,1
Absalom,2
Absalon,1
Abshir,2
Abshiro,2
Abu,5
Abu Ishrat Mohamed,1
Abualtaib,1
Abuanga,1
Abubakar,1
Abubaker,2
Abubakr,3
