text_election_code_2,Count
,536403
12897,6
22503,2
4103,17
4197,2
4202,2
4291,1
4296,10
4301,7
4495,4
4505,17
4604,2
4693,1
4699,2
4792,2
51804,8
8791,1
CG,213
CG0003,8
CG0004,7
CG0005,10
CG0007,7
CG0008,6
CG0009,16
CG0010,90
CG0011,34
CG0023,92
CG005,7
CG0104,10
CG012,4
CG021,2
CG0304,10
CG033,3
CG0404,1
CG0408,10
CG0410,1
CG0413,4
CG042,1
CG0495,1
CG0497,1
CG0504,50
CG052,1
CG06,3
CG08,3
CG1019,13
CG1030,5
CG11,8
CG1123,485
CG12,9
CG1229,1
CG1279,1
CG13,11
CG1319,3
CG14,16
CG15,35
CG1520,4
CG16,3
CG19,18
CG1987,1
CG1989,3
CG1991,10
CG1993,36
CG1994,10
CG1995,50
CG1996,2
CG1997,63
CG1998,7
CG1999,72
CG2000,5
CG2001,136
CG2002,5
CG2003,268
CG2004,16
CG2005,1062
CG2006,39
CG2007,764
CG2008,36
CG2009,1005
CG2010,84
CG2011,1009
CG2012,68
CG2013,1138
CG2014,94
CG2015,1823
CG2016,35
CG2017,3053
CG2019,8776
CG2021,21528
CG2023,101375
CG21,679
CG21A,133
CG2209,2
CG2250,21
CG2259,15
CG2260,1
CG2269,3
CG2270,11
CG2288,2
CG2289,5
CG2290,1
CG23,1317
CG294B,310
CG3105,18
CG3204,3
CG3210,2
CG3293,5
CG3299,24
CG3398,3
CG3904,1
CG400,3
CG403,8
CG404,2
CG405,25
CG4103,182
CG4197,65
CG4202,6
CG4291,6
CG4296,3
CG4301,106
CG4400,38
CG4489,3
CG4495,36
CG4505,473
CG4604,13
CG4693,26
CG4699,74
CG4787,4
CG4792,6
CG4798,8
CG48,13
CG496,2
CG497,1
CG498,2
CG499,4
CG510,11
CG5404,2
CG5702,1
CG5704,7
CG5923,1215
CG604,1
CG6139,1
CG6279,1
CG6496,2
CG6705,9
CG7139,4
CG7189,2
CG8169,1
CG8249,1
CG8299,1
CG9104,1
CG9149,5
CG9304,2
CG9404,1
CG956,10
CG964,7
CG9702,2
CG9704,7
CG973,9
CG9904,6
CG993,20
CGAP,13
CGCE06,2
CGCG,1
CGCG10,3
CGFR,1
CGHB06,8
CGHE06,1
CGLC14,1
CGLC16,1
CGNE,8
CGS,15
CGS06,6
CGS103,1
CGSP06,1
CP,1
CP 23,276
CP0002,2
CP0004,5
CP0005,8
CP0006,1
CP0007,1
CP0008,5
CP0009,4
CP0010,32
CP0102,3
CP0302,5
CP0408,5
CP07,4
CP09,1
CP102,2
CP15,2
CP17,6
CP1980,1
CP1989,1
CP1991,2
CP1993,6
CP1995,8
CP1997,23
CP1998,1
CP1999,12
CP2000,3
CP2001,21
CP2003,90
CP2005,100
CP2006,11
CP2007,154
CP2008,3
CP2009,73
CP201,1
CP2010,14
CP2011,77
CP2012,6
CP2013,100
CP2015,219
CP2016,1
CP2017,393
CP2019,822
CP2021,1966
CP2023,45024
CP2250,1
CP23,24
CP287,1
CP304,1
CP305,3
CP381,114
CP399,1
CP9702,3
CP9903,1
CPCH07,1
CPG 21,38
CPMN06,1
CPMN08,1
CPNC15,3
CPST08,1
GN1149,7
GN1160,15
GN1180,15
GN1984,3
GN1986,17
GN1988,105
GN1990,156
GN1992,1222
GN1994,457
GN1996,2254
GN1998,803
GN2000,3903
GN2002,1547
GN2004,9791
GN2006,3378
GN2008,20534
GN2010,6085
GN2012,25834
GN2014,11334
GN2016,62531
GN2018,72873
GN2020,216116
GN2022,288472
GN4197,13
GN4291,1
GN4296,1
GN4301,15
GN4495,5
GN4693,5
GN4699,7
GN4798,4
MB#383,116
MB/SP,4
MB/WC,8
MB0108,129
MB0110,12
MB0112,164
MB0114,1
MB0115,164
MB0116,212
MB0120,1014
MB0121,3884
MB0123,10254
MB0211,15
MB0215,7
MB0216,62
MB0219,4
MB0315,30
MB0320,55
MB0322,2040
MB0412,1107
MB0414,242
MB0416,17
MB0423,6565
MB0424,1
MB0506,32
MB0508,36
MB0513,8
MB0516,75
MB0517,311
MB0518,662
MB0519,1163
MB0607,14
MB0611,29
MB0613,302
MB0615,62
MB0616,341
MB0618,199
MB0619,112
MB0622,134
MB0623,17130
MB0711,17
MB0719,35
MB0807,5
MB0823,1200
MB0830,133
MB0907,37
MB0915,45
MB0916,113
MB0917,66
MB0918,442
MB0919,670
MB0921,108
MB0922,744
MB1007,122
MB1013,274
MB1107,60
MB1109,6
MB1113,253
MB1205,257
MB1211,14
MB1213,15
MB1301,20
MB1302,77
MB1501,62
MB15B,5
MB1601,21
MB17,182
MB1701,102
MB17LA,97
MB1901,273
MB1995,11
MB2005,12
MB2006,59
MB2007,144
MB2008,56
MB2009,201
MB2010,48
MB2011,20
MB2012,30
MB2013,206
MB2014,363
MB2015,754
MB2016,357
MB2017,170
MB2018,138
MB2019,502
MB2020,429
MB2022,1426
MB2023,1
MB2024,332
MB229,257
MB231,53
MB232,105
MB233,246
MB242,3
MB263,16
MB293,4
MB305,383
MB3408,45
MB360,9
MB368,60
MB383,9
MB394,41
MB396,18
MB402,84
MB415,3
MB416,39
MB437,137
MB4604,7
MB464,43
MB468,1
MB490,80
MB501,226
MB509,3
MB5116,60
MB512,436
MB5398,14
MB5410,11
MB5411,10
MB6115,163
MB615,23
MB6215,26
MB9410,4
MBAL06,3
MBAU06,19
MBAUG,60
MBBE07,49
MBBE09,11
MBD423,45
MBHD07,8
MBM,2
MBMV06,8
MBNCO,2
MBOCA,6
MBPC09,12
MBREC,2
MBSB09,11
MBSD07,46
MBSE09,4
MBSLS,9
MBST06,48
MBST17,19
MBSWD,1
PP0001,3
PP1992,15
PP2024,6248
PR0001,1
PR031,1
PR1986,2
PR1988,1
PR1990,18
PR1992,95
PR1994,123
PR1996,330
PR1998,223
PR2000,420
PR2002,331
PR2004,844
PR2006,362
PR2007,1
PR2008,955
PR2010,1238
PR2012,1953
PR2014,1219
PR2016,3728
PR2018,5812
PR2020,37046
PR2022,371699
PR2250,10
PR2259,5
PR2270,9
PR2289,4
PR3105,21
PR3204,3
PR3299,4
PR8200,2
PR8288,3
PR991,1
PRHC06,3
PRPC06,1
SP,52
SP 389,38
SP000,9
SP0001,1
SP0004,1
SP0005,1
SP0006,2
SP0007,12
SP001,13
SP0014,2
SP002,7
SP0041,2
SP01,6
SP0101,5
SP0103,12
SP011,7
SP0111,6
SP0112,76
SP012,1
SP0121,5
SP0125,190
SP013,5
SP015,7
SP0197,1
SP0202,2
SP0204,2
SP021,8
SP0218,40
SP0219,3
SP0222,5
SP0223,114
SP023,42
SP0291,1
SP0293,2
SP0297,1
SP0299,3
SP0301,5
SP0302,16
SP0305,3
SP0306,1
SP0316,8
SP0319,5
SP033,73
SP034,6
SP0388,4
SP0403,2
SP0405,25
SP0406,8
SP0408,2
SP041,3
SP0410,26
SP0417,23
SP0419,60
SP0421,56
SP0423,14
SP0425,192
SP043,41
SP0489,27
SP0493,204
SP0495,2
SP0497,2
SP0501,2
SP0503,19
SP0505,21
SP051,95
SP0510,26
SP0512,5
SP0517,40
SP052,16
SP0523,1766
SP054,20
SP057,24
SP0599,4
SP06,5
SP0601,1
SP0604,1
SP0606,10
SP0607,63
SP0609,2
SP0614,9
SP0616,4
SP0623,470
SP0693,1
SP0696,1
SP0699,3
SP06AT,4
SP0709,6
SP0711,1
SP0717,8
SP0718,4
SP0723,95
SP0792,1
SP08,6
SP0801,7
SP0802,2
SP0805,9
SP0813,2
SP0815,4
SP0819,86
SP0820,38
SP0821,58
SP0822,984
SP0823,1001
SP0830,180
SP09,1
SP0901,18
SP0904,3
SP0905,4
SP0906,4
SP0920,1
SP0997,1
SP0999,1
SP09EL,4
SP1,3
SP10,3
SP100,1
SP1009,7
SP1010,3
SP1014,31
SP1017,1
SP1018,14
SP102,1
SP1020,30
SP1022,30
SP1023,388
SP1025,2
SP1031,4
SP105,47
SP1070,4
SP1079,2
SP1090,1
SP11,1
SP1105,9
SP1109,1
SP1112,11
SP1113,3
SP1115,22
SP1116,1
SP112,74
SP1123,1
SP1129,2
SP114,18
SP1149,2
SP1160,9
SP1179,3
SP1205,2
SP1209,3
SP1210,12
SP1213,2
SP1215,2
SP1218,6
SP1219,1
SP1250,4
SP1258,1
SP1270,3
SP1289,7
SP1298,1
SP1299,2
SP1300,3
SP1312,1
SP1319,4
SP14,9
SP14MU,3
SP1694,2
SP1697,1
SP17,2
SP1794,3
SP19,32
SP1993,4
SP1997,4
SP1998,1
SP1999,6
SP2000,21
SP2001,13
SP2002,26
SP2003,5
SP2004,4
SP2005,22
SP2006,9
SP2007,602
SP2008,12
SP2009,119
SP201,4
SP2010,35
SP2011,18
SP2012,117
SP2013,122
SP2014,164
SP2015,98
SP2016,95
SP2017,172
SP2018,142
SP2019,264
SP2020,39
SP2021,301
SP2022,413
SP2023,4180
SP203,10
SP206,3
SP2103,1
SP2104,5
SP2197,1
SP220,13
SP2201,17
SP2249,2
SP2260,5
SP2263,8
SP2289,2
SP2299,8
SP22MN,66
SP2396,2
SP2398,1
SP2406,3
SP244,5
SP2498,1
SP2503,2
SP2505,1
SP251,16
SP252,11
SP257B,94
SP258,36
SP2597,1
SP264,3
SP2690,1
SP2691,1
SP270,1
SP282,3
SP289,10
SP2895,1
SP2997,1
SP3,2
SP306,22
SP309,303
SP311,148
SP312,23
SP3260,5
SP330,30
SP3319,5
SP3353,9
SP3357,11
SP336,28
SP34,4
SP344,17
SP35,8
SP350,2
SP360,84
SP363,5
SP371,31
SP381,2
SP385,45
SP3882,175
SP3895,1
SP39,2
SP396,15
SP3984,1
SP40,3
SP405,13
SP406,4
SP408B,338
SP4103,4
SP410B,103
SP418R,70
SP4197,8
SP420,19
SP4202,1
SP421,16
SP4219,1
SP43,4
SP4301,2
SP434,6
SP4400,31
SP443,19
SP448,70
SP4489,1
SP4495,6
SP4522,61
SP459,10
SP460,4
SP4604,4
SP4610,9
SP4693,3
SP4699,5
SP4792,2
SP4798,5
SP4814,2
SP482,6
SP487,2
SP4892,714
SP49,7
SP5,3
SP508,12
SP5110,7
SP52,21
SP5200,4
SP5210,6
SP5220,1
SP5230,4
SP5249,1
SP5298,8
SP54,4
SP56,3
SP5608,8
SP5702,9
SP5900,10
SP6011,14
SP6012,19
SP6108,2
SP6109,27
SP6149,2
SP6179,2
SP6208,7
SP6229,1
SP6279,3
SP6303,5
SP6309,7
SP6312,17
SP6314,13
SP6402,4
SP6501,22
SP6507,46
SP6600,1
SP6705,5
SP6810,5
SP686,2
SP6899,9
SP696,1
SP7,5
SP7279,1
SP7290,2
SP7991,3
SP8269,1
SP8319,2
SP8393,1
SP893,1
SP911,1
SP9149,1
SP9199,6
SP9200,28
SP9263,3
SP931,1
SP9310,2
SP9506,1
SP951,2
SP9510,4
SP953,17
SP961,4
SP962,1
SP971,5
SP9710,30
SP972,3
SP973,1
SP9805,3
SP981,3
SP9813,5
SP9902,1
SP9903,1
SP9904,1
SP991,3
SP992,4
SP993,11
SP994,46
SP996,1
SP9LON,2
SPA UB,1
SPAB05,6
SPAB07,5
SPAC02,2
SPAC05,1
SPB072,20
SPB434,28
SPBA15,2
SPBC07,3
SPBC12,2
SPBCL6,5
SPBE07,17
SPBE17,15
SPBU15,2
SPC,1
SPC268,1
SPC311,22
SPC331,23
SPC415,1
SPCE,1
SPCH05,3
SPCITY,4
SPCR07,12
SPCV,5
SPCV21,7
SPCW12,65
SPDB07,7
SPDWES,6
SPE,13
SPEB04,4
SPED09,1
SPEL06,24
SPEU07,10
SPF511,4
SPFB01,3
SPFC21,6
SPFH97,1
SPGM07,27
SPGN17,1578
SPGO,2
SPHB06,6
SPHB07,1
SPHO1,12
SPHS17,26
SPLC09,2
SPLLIB,1
SPLR04,1
SPMC08,1
SPMD17,1
SPMPCI,10
SPMPTX,27
SPMU12,1
SPMV22,5
SPOBO6,1
SPOC07,1
SPPL07,3
SPR21,188
SPRB04,3
SPRB05,5
SPRB97,1
SPRH04,2
SPSB05,3
SPSB07,17
SPSBF6,3
SPSC07,23
SPSCH,7
SPSD,15
SPSL09,1
SPSS,1
SPST06,1
SPST10,2
SPST11,1
SPST16,1
SPSTQ,1
SPTH09,3
SPUQ07,4
SPVC07,1
SPWC19,3
SPWF18,27
