text_res_zip4,Count
,1616470
-571,1
0,1
0000,8707
0001,14
0002,9
0003,8
0004,9
0005,16
0006,16
0007,11
0008,4
0009,2
0010,1
0011,9
0012,14
0013,14
0014,10
0015,9
0016,5
0017,5
0018,2
0019,3
0020,3
0021,8
0022,9
0023,10
0024,15
0025,14
0026,2
0027,9
0028,3
0029,7
0030,5
0031,8
0032,4
0033,9
0034,13
0035,9
0036,6
0037,6
0038,8
0039,4
0040,4
0041,11
0042,13
0043,10
0044,6
0045,8
0046,7
0047,11
0048,3
0049,3
0051,11
0052,10
0053,6
0054,4
0055,10
0056,12
0057,6
0058,5
0059,4
0060,3
0061,6
0062,11
0063,13
0064,4
0065,7
0066,10
0067,5
0068,6
0069,7
0071,10
0072,7
0073,10
0074,8
0075,6
0076,2
0077,3
0078,2
0080,1
0081,8
0082,20
0083,6
0084,16
0085,12
0086,14
0087,12
0088,5
0089,2
0090,1
0091,5
0092,11
0093,10
0094,9
0095,1
0096,5
0097,5
0098,5
0099,4
0100,7
0101,3
0102,15
0103,17
0104,23
0105,6
0106,7
0107,2
0108,2
0109,2
0110,6
0111,11
0112,14
0113,2
0114,15
0115,8
0116,8
0117,8
0118,6
0119,5
0120,1
0121,5
0122,11
0123,20
0124,8
0125,4
0126,1
0127,11
0128,4
0129,2
0130,1
0131,6
0132,9
0133,13
0134,12
0135,10
0136,2
0137,4
0138,3
0139,6
0140,1
0141,3
0142,11
0143,14
0144,7
0145,8
0146,6
0147,5
0149,1
0151,10
0152,10
0153,11
0154,10
0155,6
0156,12
0157,3
0158,7
0159,1
0160,1
0161,8
0162,15
0163,13
0164,17
0165,3
0166,4
0167,2
0168,3
0169,4
0171,7
0172,5
0173,4
0174,14
0175,3
0176,4
0177,4
0179,2
0181,7
0182,8
0183,4
0184,10
0185,5
0186,2
0187,5
0188,7
0189,2
0191,13
0192,7
0193,7
0194,6
0195,10
0197,1
0198,4
0200,5
0201,11
0202,7
0203,7
0204,10
0205,21
0206,10
0207,4
0208,3
0209,2
0211,10
0212,10
0213,11
0214,9
0215,6
0216,10
0217,4
0218,1
0220,1
0221,5
0222,5
0223,3
0224,12
0225,12
0226,6
0227,6
0228,2
0231,3
0232,13
0233,5
0234,5
0235,7
0236,5
0237,3
0238,3
0239,5
0241,5
0242,7
0243,10
0244,8
0245,9
0246,10
0247,8
0248,7
0249,2
0251,6
0252,7
0253,6
0254,6
0255,3
0256,4
0257,2
0258,4
0261,6
0262,7
0263,3
0264,4
0265,9
0266,8
0267,5
0268,2
0269,3
0271,6
0272,4
0273,5
0274,8
0275,9
0276,7
0277,6
0278,1
0279,1
0280,1
0281,2
0282,3
0283,5
0284,7
0285,3
0286,9
0287,1
0288,4
0290,1
0291,4
0292,7
0293,4
0294,10
0295,10
0296,5
0297,2
0298,3
0299,3
0301,2
0302,7
0303,4
0304,7
0305,4
0306,5
0307,4
0308,2
0309,6
0310,10
0311,6
0312,4
0313,3
0314,7
0315,3
0316,3
0317,3
0318,3
0321,5
0322,1
0323,18
0324,6
0325,5
0326,7
0327,2
0328,3
0329,2
0330,3
0331,11
0332,9
0333,3
0334,4
0335,4
0336,7
0337,12
0338,5
0340,1
0342,6
0343,16
0344,5
0345,7
0346,4
0347,7
0348,5
0351,8
0352,5
0353,10
0354,4
0355,4
0356,2
0357,4
0358,1
