cde_name_title,Count
,1975372
1sg,1
Aic,32
Capt,7
Col,1
Cpi,1
Dr,17
Et2,9
Fr,4
Lt,9
Miss,67
Mr,134
Mrs,92
Ms,72
Pfc,6
Rev,10
Sgt,7
Spc,1
Spl,1
Sr,38
Ssg,3
