text_election_code_4,Count
,802833
12897,2
22503,2
4103,24
4197,1
4296,6
4301,6
4495,9
4505,42
4604,1
4693,2
4699,5
4792,4
51804,20
CG,446
CG0003,14
CG0004,9
CG0005,14
CG0007,17
CG0008,5
CG0009,20
CG0010,168
CG0011,56
CG005,10
CG0104,20
CG012,8
CG021,1
CG0304,21
CG033,6
CG0408,9
CG0413,5
CG042,1
CG0491,1
CG0495,2
CG0497,2
CG0504,93
CG06,3
CG08,2
CG1019,6
CG1030,5
CG1068,2
CG11,21
CG1179,4
CG12,8
CG1279,3
CG13,15
CG14,45
CG15,62
CG1520,5
CG16,12
CG19,91
CG1974,1
CG1978,1
CG1987,1
CG1989,11
CG1990,1
CG1991,15
CG1993,45
CG1994,17
CG1995,43
CG1996,3
CG1997,115
CG1998,7
CG1999,91
CG2000,7
CG2001,216
CG2002,11
CG2003,415
CG2004,36
CG2005,1563
CG2006,56
CG2007,1212
CG2008,62
CG2009,1542
CG2010,160
CG2011,1702
CG2012,139
CG2013,2025
CG2014,162
CG2015,3701
CG2016,75
CG2017,7810
CG2019,27302
CG2021,117748
CG2023,1
CG21,3636
CG21A,588
CG2209,1
CG2250,29
CG2259,14
CG2260,2
CG2269,2
CG2270,22
CG2288,4
CG2289,17
CG3105,27
CG3204,7
CG3210,4
CG3293,3
CG3299,20
CG334C,1
CG3387,1
CG400,4
CG401,5
CG403,5
CG405,50
CG4103,241
CG4197,83
CG4202,19
CG4291,18
CG4296,9
CG4301,137
CG4390,2
CG4400,37
CG4406,1
CG4489,9
CG4495,40
CG4505,755
CG4594,3
CG4604,27
CG4693,29
CG4699,104
CG4787,1
CG4792,14
CG4798,15
CG48,22
CG496,3
CG497,4
CG498,2
CG499,5
CG510,10
CG5404,3
CG5702,6
CG5704,12
CG604,1
CG6139,3
CG6290,5
CG6496,4
CG6705,20
CG6992,1
CG7139,3
CG7189,1
CG8895,1
CG8904,1
CG9104,1
CG9149,1
CG9304,8
CG9504,2
CG956,5
CG964,8
CG9702,6
CG9704,18
CG973,7
CG985,2
CG9904,10
CG993,17
CGAP,42
CGCE06,1
CGCG,6
CGCG10,4
CGFR,4
CGG,1
CGHB06,3
CGHE06,1
CGHE08,1
CGLC14,1
CGLC16,1
CGNE,3
CGS,117
CGS06,6
CGS103,2
CGSP06,2
CGST08,3
CGST10,1
CP,1
CP0002,4
CP0004,3
CP0005,9
CP0006,2
CP0007,4
CP0008,17
CP0009,7
CP0010,65
CP0102,3
CP0297,1
CP0302,3
CP0408,12
CP07,6
CP09,3
CP15,3
CP17,16
CP1989,2
CP1991,4
CP1993,5
CP1994,4
CP1995,14
CP1997,30
CP1998,3
CP1999,18
CP2000,5
CP2001,37
CP2003,127
CP2005,176
CP2006,14
CP2007,270
CP2008,3
CP2009,146
CP201,1
CP2010,24
CP2011,148
CP2012,10
CP2013,168
CP2014,4
CP2015,372
CP2016,7
CP2017,1003
CP2019,2168
CP2021,9551
CP2023,1577
CP203,4
CP287,1
CP296,2
CP305,1
CP9204,1
CP9702,3
CPCH07,1
CPCP06,1
CPFR10,1
CPG 21,191
CPMN06,2
CPNC15,5
GN1129,1
GN1148,1
GN1149,9
GN1160,19
GN1180,14
GN1982,3
GN1984,9
GN1986,51
GN1988,189
GN1990,203
GN1992,1329
GN1994,613
GN1996,2704
GN1998,1110
GN2000,5239
GN2002,2727
GN2004,13463
GN2006,5529
GN2007,3
GN2008,27767
GN2010,10427
GN2012,40443
GN2014,26012
GN2016,93165
GN2018,140787
GN2020,197307
GN2022,44354
GN4197,10
GN4202,2
GN4301,15
GN4495,4
GN4693,5
GN4699,16
GN4798,2
MB#383,213
MB/SP,13
MB/WC,3
MB0108,232
MB0110,23
MB0112,355
MB0114,2
MB0115,293
MB0116,222
MB0120,2128
MB0121,9290
MB0123,2135
MB0211,12
MB0215,20
MB0216,154
MB0219,18
MB0315,48
MB0320,116
MB0322,5885
MB0412,2123
MB0414,319
MB0416,18
MB0423,2452
MB0506,63
MB0508,57
MB0513,11
MB0516,93
MB0517,622
MB0518,1520
MB0519,2111
MB0607,28
MB0611,57
MB0613,552
MB0615,106
MB0616,727
MB0618,263
MB0619,250
MB0622,514
MB0623,1012
MB0711,14
MB0719,66
MB0807,9
MB0823,381
MB0830,24
MB0907,65
MB0915,103
MB0916,224
MB0917,108
MB0918,804
MB0919,1375
MB0921,312
MB0922,273
MB1007,218
MB1013,584
MB109,1
MB1107,114
MB1109,9
MB1113,459
MB112,2
MB1205,338
MB1211,27
MB1213,22
MB1301,33
MB1302,115
MB1501,102
MB15B,8
MB1601,37
MB17,250
MB1701,144
MB17LA,105
MB1901,251
MB1995,8
MB2000,4
MB2005,15
MB2006,65
MB2007,166
MB2008,56
MB2009,267
MB2010,45
MB2011,34
MB2012,54
MB2013,270
MB2014,471
MB2015,1195
MB2016,535
MB2017,293
MB2018,191
MB2019,911
MB2020,809
MB2022,471
MB229,548
MB231,94
MB232,171
MB233,552
MB242,7
MB263,23
MB274,5
MB293,10
MB305,441
MB3408,54
MB360,13
MB368,101
MB383,23
MB394,50
MB396,27
MB398,1
MB402,153
MB415,10
MB416,77
MB437,222
MB4604,13
MB464,78
MB490,112
MB501,374
MB509,6
MB5116,126
MB512,824
MB5398,13
MB5410,38
MB5411,14
MB6115,342
MB615,46
MB6215,68
