polling_place_text_address3,Count
,1868741
235 Main St,464
520 Washington St,146
92 S Oak,334
920 Lincoln,820
Back Door,3902
Back Lower North Door,744
East Door,711
East Door on Rowley Lane,1446
East Entrance,973
East Main Door,2381
East Side Center Door,1489
East Side Door,2351
East Side Lower Door,1111
East Side North Door,1324
East Side South Door,2182
Family Life Center Door,1586
Fellowship Hall Front Door,1081
Front Door,21469
Front Door Clubhouse,1411
Front Door South Side,1571
Front North Door,1513
Main Door,7135
Main Door North Side,865
Main Entrance,5229
Main North Entrance,1104
Main West Entrance,1308
Mulvane Bldg South Door,971
North Door,968
North Door near Gym,1494
North Door Near Gym,1471
North Main Door,961
North Side East End,462
Northwest Mall Lower Level,2140
NW Door to Media Room,1342
SE Multipurpose Door,1154
South Lower Entrance,1345
South Side Door,716
South Side West Door,552
Southwest Door,1727
West Door,5492
West End Entrance,916
West Front Door,2641
West Gym Door,855
West Mall Entrance,1978
West Side Center Door,2373
West Side Door,4258
West Side Entrance,2192
West Side North Door,1922
West Side South Door,4563
