polling_place_text_name,Count
Caney City Hall - W3 P2,5
Caney City Hall - W4 P1,349
Caney City Hall W3 P1,311
Canton Community Center,732
Capitol Cty Comm Ch God,2182
Carbondale Community Bldg,1826
Carlton City Bldg,425
Cassoday Community Church,418
Castleton Township Hall,228
Catholic Parish Center,2271
Cawker City Clerk's Office,368
Cedar Creek Swim and Racquet Club,2570
Cedar Roe Library,1722
Celebration Centre,2607
Center Bethel Church,296
Center Christian Church,455
CenterPointe Community Church,3163
Centerville Comm. Bldg.,340
Central Christian Church,11316
Central Park Comm Ctr,1727
Central Resource Library,7778
Centralia Area Comm Bldg - Centralia-Home,279
Centralia Area Comm Bldg - Centralia-Illinois,45
Centralia Area Comm Bldg - Home,110
Centralia Area Comm Bldg - Neuchatel,81
Centropolis Township Hall,370
Ch of Jesus Christ LDS,2381
Chapel Oaks SDA Church,6737
Chase County Community Building,1838
Chase Senior Center,563
Cheney Baptist Church,2349
Cherokee Snr Ctr,812
Cherokee Twp Hall (formally Clymore School),278
Chicopee Community Center,1275
Chisholm Trail Church of Christ,3283
Christ Community Church Leawood,2461
Christ Community Church of the Nazarene,2373
Christ Community Church Olathe,3219
Christ Luth Ch,1368
Christ Lutheran Church,1914
Christian Church (Sedgwick),1165
Church of Christ - Twp #10,99
Church of Christ - Twp #11,211
Church of Christ - Twp #12,684
Church of Christ - Twp #6,315
Church of Christ - Twp #7,171
Church of Christ - Twp #8,91
Church of Christ - Twp #9,195
Church of Christ Hall,5470
Church of Jesus Christ of LDS,2633
Church Of The Harvest,1538
Church of the Magdalen,3032
Church Of The Nazarene,2542
Church of The Open Door,4315
Church of the Resurrection Leawood,6979
Church of the Resurrection West,4205
Cimarron 1 4-H Bldg,436
Cimarron 2 4-H Bldg,1257
Circle Grove School,1118
Circleville Christian Church,376
Citizen Potawatomi,1233
City Center Church,5083
City of Satanta Community Building,844
Civic Center - Precinct 4,760
Civic Center - Ward 1,687
Civic Center - Ward 2,1077
Civic Center - Ward 3,1230
Civic Connection,639
Clearwater Methodist Church,3303
Clifton American Legion,193
Clyde City Hall,644
Codell High School Building,114
Colby Event Center,5347
College Ave United Methodist,3100
College Church of the Nazarene,4341
Colonial Heights Church,4863
Colony City Hall,512
Columbian Hall 1,1399
Columbian Hall 2,19
Columbian Hall 3,17
Columbus Community Bldg,2145
Colwich Elementary School,1794
Community Bible Church,3376
Community Bldg - Baxter Springs,3475
Community Building,1714
"Community Building, Bushton",292
Community Center,718
Community Center Ward 1,764
Community Center Ward 2,503
Community Center Ward 3,986
Community Center Ward 4,764
Community Center Ward 5,713
Community Christian Church,5534
"Community Christian Church - Twp 1, Pct 1",222
"Community Christian Church - Twp 1, Pct 2",146
Community Christian Church - Twp 2,535
Community Christian Church - Ward 1,437
Community Christian Church - Ward 2,372
Community Christian Church - Ward 3,622
Community Covenant Church,4303
Concordia Elementary School Gym,4012
Copeland/GY Amb Bldg,236
Corinth Library,3190
Cornerstone Christian Church,379
Cornerstone Comm Ch,2641
Cornerstone Presbyterian Church,2715
Corning Comm Bldg- Red Vermillion,86
Corning Comm Bldg - Corning City,145
Corning Comm Bldg - Illinois,166
Country Acres Baptist,4687
Countryside Baptist Church,4398
Countryside Christian,3403
Countryside Church Hall,4255
County Courthouse,1376
County Extension Office,3008
Courthouse-Election Day,1771
Courthouse-Mankato,1075
Courthouse Annex,3772
Courthouse Bsemnt Meeting,1631
Courthouse Lobby-Ctr 1- 05.01/05.06,433
Courthouse Lobby-Ctr 2-06.01/06.08,97
Courthouse Lobby-Highland 3-09.01/09.02,87
Courtland Comm. Center,533
Covenant Baptist Ch,1571
Covenant Presbyterian Church,4936
Crestview Christian Church,3664
Croco Square Inc,916
CrossRoads Ch,1487
Crossroads Christian Church,4896
Crystalbrook Church 1st Pct 3rd Ward,457
Crystalbrook Church 1st Pct 4th Ward,508
Crystalbrook Church 2nd Pct 3rd Ward,276
Crystalbrook Church Indep. City 1st Pct 2nd Ward,242
Crystalbrook Church Indep. City 2nd Pct 2nd Ward,213
Crystalbrook Church Indep. City 2nd Pct 4th Ward,393
CS Methodist Fellowship Hall,1818
Cuba Comm. Center,392
Culver United Methodist Church,150
Cummings Christian Church,442
Cunningham Community Center,554
Cure of Ars Catholic Church,4512
Damar Community Center,148
De Soto Community Center,1279
Deerfield Community Center,529
Delavan Community Bldg - Twp 7,163
Delavan Community Bldg - Twp 8,137
Delavan Community Bldg - Twp 9,234
Delaware Township Hall,1261
Delia Community Bldg,507
Delphos Presbyterian Fellowship Hall,355
Denison Community Bldg,438
Derby Library,4070
Dexter City Building,408
Dillon Nature Center,1876
Dodge City Civic Center,8818
Dotzour Community Center,715
Douglass Community Bldg,1634
Dover Comm Ctr,808
Downs Memorial Hall,796
Dresden Methodist Church,105
Dwest South Gym-Be,187
Dwest South Gym-De,205
Dwest South Gym-Se,171
Dwight Lamson Post 258 the American Legion,637
Dwight United Methodist Church- Twp 4,144
Dwight United Methodist Church - Twp 3,307
East Hess/4-H Bldg,237
East Lake Volunteer Hall,652
East Point Church Of Christ,2319
East Side Baptist Ch,1994
Eastborough City Hall,637
Eastminster Presbyterian,4674
Eastmoor United Methodist Church,2196
EC/SH Ell-Saline Elem Sch,949
Edgemoor Rec Center,2457
Edgerton United Methodist Church,1936
Edna Community Senior Center,930
Edwardsville City Hall Training Room,2992
Effingham Municipal Building,663
Eisenhower Recreation Center,3351
El Dorado Civic Center,5131
El Dorado Senior Center,2561
Elk City Community Building,383
Ellsworth American Legion,2078
Elm Grove Baptist Church,1262
Elwood Community Center,696
Emmanuel Baptist Church,2634
Emporia Avenue Church of Christ,4355
Emporia Presbyterian Church,2311
Emporia Recreation Center,1681
Emporia Senior Center,1964
EU/GY Gypsum Com Room,587
Eureka Public Library,2600
Evangel Presbyterian Church,2501
Evergreen Library,4117
Evidence Church,3561
Exodus Church,2361
F N B Annex & Community Center,423
FA/WS(400) Luth Parish Hl,224
Fair Building,1085
Fairlawn Nazarene Ch,1573
Fairmount Twp Fire Stat.,1503
Fairview Community Center,1248
Fairview Fire Station,675
Faith Bible Fellowship,1098
Faith Chapel Assembly of God,1250
Faith City Christian Center,2756
Faith Community Church - Family Center,1387
Faith United Church,345
Farlington Town Hall,417
Farlinville Comm. Bldg.,452
Fellowship Bible Ch,531
Fellowship Bible Church,2988
Fellowship Olathe,1594
Finney County Library,1602
Fire Dist No.1 Fire Stat.,1550
Fire District #1 Fire Station,995
Fire District #5 Eskridge Station,1067
Fire District #9 Building,459
Fire Station 21,1812
First Assembly of God,2428
First Assembly of God Church,3394
First Baptist Ch,1922
First Baptist Church,9422
First Baptist Church Annex,532
First Baptist Church Basehor,2402
First Baptist Church of Gardner,2253
First Baptist Church of Olathe,4514
First Baptist Church of Stilwell,2345
First Christian Ch,968
First Christian Church,7917
First Congregational Ch,953
First Luth Ch,961
First Lutheran Church,2666
First Pentecostal Church,3389
First St. John Lutheran Church,597
First UMC,1483
First United Methodist Ch,1957
First United Methodist Ch*,369
First United Methodist Church,14769
Fisher Center,3001
Florence John McKay American Legion Post 308,422
Fontana Methodist Church,462
Foote 4-H Bldg,59
Ford Community Church Fellowship Hall,236
Four Colonies Clubhouse 3,3090
Foursquare Church,598
Fowler Senior Center,634
Fulton Community Bldg,640
Galena City Hall,2112
Galva Community Center,853
Garden Plain High School,1492
Garden Valley Church,5065
Gardner Church of the Nazarene,3116
Garfield Comm Ctr,914
Garfield Community Center,155
Gas Community Center,1263
Gateway,1615
Gaylord Community Center,303
GB Activity Center,2080
GB Recreation Center,1608
Geneseo 55+ Club,299
George J. Perry Armory,2963
GL/OH/PV F D Station #3,627
Glasco Fire Department Meeting Room,419
Glenville Church,1171
God's Lighthouse of Prayer Church,456
Goddard District Conference Center,1809
Goddard Pathway Church,2717
Goessel City Building,995
Goff Comm Center - Goff City,65
Goff Comm Center - Harrison-Goff,62
Goff Comm Center - Harrison-Kelly,84
Goff Comm Center - Reilly,80
Good Shepherd Episcopal Church,4398
Gorham Senior Center,392
Gove,146
Gove County Office Blgd,119
GR/09 First Christian Ch,3243
Grace Baptist Church,4754
Grace Church South Overland Park,2269
Grace Community Church,7182
Grace Community Church of the Nazarene,1641
Grace Covenant Presbyterian Church,2749
Grace Fellowship Church,3161
Grace Fellowship Church-Pct 11,639
Grace Fellowship Church-Pct 12,915
Grace Fellowship Church-Pct 13,667
Grace Fellowship Church-Pct 4,337
Grace Fellowship Church-Pct 5,455
Grace Fellowship Church-Pct 6,188
Grace Fellowship Church Parker Twp 1,200
Grace Fellowship Church Parker Twp 2,640
Grace Presbyterian Church,3366
Grace UMC,462
Grace United Methodist Church,3058
GraceFirst,3888
Grainfield,294
Grandview Plaza Community Center,1638
Grant Twp Hall & Fire Station,1022
Grantville Comm Bldg,1028
Greater St Mary Baptist Church,3394
Greeley Co Courthouse,879
Greenwood Community Building,341
Gridley Community Bldg,670
Grinnell,300
Grinnell VFW,34
Grove Twp Hall,555
GS Community Activity Bldg,234
Haddam City Hall,227
Halstead HS New Gym,1778
Hamilton Activity Center,410
Hamilton County Courthouse,1314
Hanston Elk Plaza,386
Hardman Hall,187
Harper Senior Center (Twp 5 West),85
Harper Senior Center (TWP 6 West),63
"Harper Senior Center( Danville,Twp5 East)",232
Harper Senior Center(Harper Wd1),378
Harper Senior Center(Harper Wd2),437
Harper Senior Center(Twp 6 East),139
Harrison Township Hall,374
Hartford Community Center,524
Harvest Ridge Covenant Church,2337
Harveyville Community Center,419
Haskell County Ambulance Building,1320
Havana United Methodist Church,438
Haven Baptist Church,2990
Haven Senior Citizens Center,1154
Hays Recreation Center,2559
Haysville Activity Center,2742
Haysville Community Library,2508
Haysville United Methodist Church,4607
HCC Western Center Commons - Center,134
HCC Western Center Commons - Clear Creek,78
HCC Western Center Commons - Marion,299
Healy United Methodist Church,159
Heart of Christ Church,4147
Heritage Hall Event Ctr,2373
Heritage Park Golf Course,3692
Heritage Presbyterian Church,2942
Heritage Tours Meeting Room,406
Heritage United Methodist Church,2684
Herndon Senior Center,204
High Prairie Church,1757
