text_name_last,Count
Abou-Kassem,2
Abou Fayssal,1
Abou Hadba,2
Abou Shakra,1
Abouazab,1
Abouchobin,1
Aboud,5
Aboudara,2
Aboudoulaye,1
Abouelella,1
Abouelenein,2
Abouhalkah,1
Abouhamad,1
Aboujawdeh,2
Aboukallam,1
Aboul-Hosn,2
Aboulhosn,1
Aboulhosn-Dominguez,1
Abounabhan,3
Abounada,1
Abounamous,1
Abouodah,5
Abourachid,1
Abourkis,2
Abousamra,1
Abousharkh,1
Aboytes,4
Abozied,1
Abplanalp,16
Abragan,2
Abraha,3
Abraham,139
Abraham-Thompson,1
Abrahamian,1
Abrahams,36
Abrahamsen,5
Abrahamson,14
Abrahim,1
Abrajan,1
Abram,62
Abram Oldham,1
Abramo,4
Abramof,1
Abramov,4
Abramova,1
Abramova Kusaeva,1
Abramovich,4
Abramovitz,23
Abramowich,2
Abramowitz,3
Abrams,101
Abrams-Wharton,1
Abramson,1
Abramyan,1
Abrar,1
Abraxis,1
Abrazado,1
Abreco-Mata,1
Abrego,8
Abreu,8
Abreu-Lewis,1
Abreu Roman,1
Abrey,2
Abrha,2
Abril,7
Abril-Cuevas,1
Abrisz,1
Abrol,2
Abromeit,6
Abromitis,1
Abron,6
Abruzzino,1
Abruzzo,1
Absetz,3
Absher,20
Abshere,2
Abshier,13
Abshir,1
Abshire,13
Absi,1
Absmeier,1
Abson,4
Abston,4
Abt,7
Abtey,2
Abts,7
Abu,2
Abu-Ali,2
Abu-Anga,1
Abu-Basha,1
Abu-Daher,1
Abu-El-rub,1
Abu-El Hija,1
Abu-Erreish,2
Abu-Hasnah,1
Abu-Hijleh,3
Abu-Jalalah,1
Abu-Jamileh,1
Abu-Nabaa,1
Abu-Nahia,2
Abu-Nasser,8
Abu-Saada,1
Abu-Saymeh,2
Abu-Sherbi,6
Abu-Zareefeh,1
Abu Aaqoulah,1
Abu Alnadi,1
Abu Cell,1
Abu Ghosh,1
Abu Hatum Himadeh,1
Abu Jbara,2
Abu Kishik,1
Abu Lebdeh,1
Abu Nabaa,1
Abu Nasser,1
Abu Saada,2
Abu Saleh,1
Abu Saymeh,1
Abu Sherbi,1
Abu Zareefeh,3
Abualama,1
Abualhab,1
Abualhayja,1
Abualnadi,2
Abuanga,5
Abuazab,1
Abubakar,6
Abubaker,1
Abubasha,1
Abudayyeh,1
Abudu,4
Abuedhaim,1
Abuel,2
Abuelrish,1
Abughalia,2
Abughoush,1
Abuhadba,1
Abuhijleh,5
Abuhijlleh,1
Abuhmida,1
Abui,1
Abujalala,2
Abukalam,2
Abukar,2
Abukhodair,2
Abul-Fazl,3
Abul-Haija,1
Abulbashar,2
Abulgubein,1
Abunamous,1
Abundes,1
Abundis,2
Abundiz,1
Abunga,1
Aburabadah,1
Aburas,1
Aburass,1
Aburto,4
Aburumman,1
Abusaada,2
AbuSaada,1
Abusaleh,2
Abusalim,5
Abusalman,1
Abushaar,1
Abushawriyeh,1
