text_election_code_5,Count
,896302
11691,1
12897,5
22503,1
22895,1
3204,1
4103,21
4197,1
4202,1
4291,2
4296,9
4301,7
4489,1
4495,4
4505,27
4604,2
4693,3
4699,5
4792,2
51804,17
8791,1
CG,865
CG 201,1
CG0003,17
CG0004,5
CG0005,24
CG0007,24
CG0008,8
CG0009,29
CG0010,199
CG0011,80
CG005,12
CG0104,23
CG012,3
CG021,2
CG0304,17
CG033,17
CG0406,1
CG0408,18
CG0410,6
CG0413,3
CG042,3
CG0493,1
CG0495,3
CG0497,4
CG0504,78
CG06,6
CG08,1
CG10,1
CG1019,10
CG1024,2
CG1029,2
CG1030,10
CG1068,3
CG11,26
CG1179,5
CG12,18
CG1229,1
CG13,27
CG1319,1
CG14,75
CG15,92
CG1520,4
CG16,16
CG19,170
CG1976,1
CG1987,4
CG1989,13
CG1990,2
CG1991,13
CG1993,62
CG1994,22
CG1995,63
CG1996,4
CG1997,123
CG1998,11
CG1999,133
CG2000,8
CG2001,251
CG2002,6
CG2003,520
CG2004,46
CG2005,1936
CG2006,76
CG2007,1408
CG2008,87
CG2009,1806
CG2010,155
CG2011,2050
CG2012,167
CG2013,2639
CG2014,196
CG2015,5108
CG2016,98
CG2017,12171
CG2019,46145
CG2021,86643
CG21,1626
CG21A,290
CG2209,2
CG2250,35
CG2259,13
CG2260,7
CG2269,4
CG2270,17
CG2279,3
CG2288,5
CG2289,16
CG2290,2
CG24,1
CG3105,55
CG3204,8
CG3210,4
CG3293,6
CG3299,31
CG3387,1
CG3398,1
CG3904,1
CG400,6
CG401,5
CG402,2
CG403,8
CG404,5
CG405,49
CG4103,259
CG4119,2
CG4180,1
CG4197,87
CG4202,10
CG4285,1
CG4290,2
CG4291,18
CG4296,11
CG4301,160
CG44,3
CG4400,50
CG4489,11
CG4495,49
CG4505,884
CG4594,1
CG4604,23
CG4693,37
CG4699,105
CG4787,12
CG4792,21
CG4798,15
CG48,19
CG496,2
CG497,3
CG498,5
CG499,5
CG510,18
CG5404,4
CG5702,6
CG5704,11
CG604,2
CG6139,3
CG6219,1
CG6290,4
CG6496,4
CG6705,16
CG7139,2
CG7189,3
CG8169,1
CG8597,1
CG8904,2
CG9104,2
CG9149,1
CG9304,4
CG9504,2
CG956,8
CG964,7
CG9702,4
CG9704,25
CG973,10
CG985,2
CG9904,12
CG993,20
CGAP,59
CGCE06,2
CGCG,5
CGCG10,4
CGFR,1
CGG,1
CGHB06,2
CGHE08,1
CGHL06,1
CGNE,6
CGS,157
CGS06,14
CGS103,2
CGSP06,2
CP0002,7
CP0004,2
CP0005,12
CP0006,2
CP0007,2
CP0008,13
CP0009,7
CP0010,78
CP0102,3
CP0302,7
CP0408,14
CP0492,1
CP07,4
CP09,5
CP15,1
CP17,16
CP1987,1
CP1989,3
CP1991,3
CP1993,5
CP1994,1
CP1995,17
CP1997,38
CP1998,2
CP1999,26
CP2000,5
CP2001,33
CP2002,1
CP2003,195
CP2004,3
CP2005,170
CP2006,21
CP2007,323
CP2008,9
CP2009,156
CP201,1
CP2010,44
CP2011,183
CP2012,13
CP2013,219
CP2014,7
CP2015,526
CP2016,12
CP2017,1379
CP2019,3038
CP2021,17526
CP2023,109
CP203,3
CP2250,1
CP287,2
CP304,1
CP305,2
CP399,1
CP9702,5
CP9903,1
CPCH07,3
CPFR10,2
CPG 21,131
CPHE06,1
CPMN06,1
CPNC15,3
CPST08,2
GN1129,1
GN1149,5
GN1160,18
GN1180,19
GN1984,12
GN1986,51
GN1988,207
GN1990,241
GN1992,1547
GN1994,688
GN1996,3221
GN1998,1383
GN2000,6261
GN2002,3261
GN2004,15948
GN2006,7041
GN2007,1
GN2008,31783
GN2010,14337
GN2012,48170
GN2014,37279
GN2016,110011
GN2018,145027
GN2020,155171
GN2022,8041
GN4197,17
GN4202,7
GN4291,1
GN4296,2
GN4301,28
GN4495,11
GN4693,6
GN4699,21
GN4798,2
MB#383,249
MB/SP,11
MB/WC,9
MB0108,276
MB0110,34
MB0112,502
MB0114,3
MB0115,409
MB0116,328
MB0120,2749
MB0121,11657
MB0123,76
MB0211,19
MB0215,33
MB0216,191
MB0219,30
MB0315,74
MB0320,177
MB0322,6033
MB0412,1046
MB0414,392
MB0416,27
MB0423,1
MB0506,68
MB0508,91
MB0513,13
MB0516,108
MB0517,898
MB0518,2564
MB0519,2254
MB0607,37
MB0611,66
MB0613,721
MB0615,135
MB0616,962
MB0618,325
MB0619,265
MB0622,197
MB0711,18
MB0719,81
MB0807,8
MB0907,100
MB0915,121
MB0916,258
MB0917,132
MB0918,1060
MB0919,1583
MB0921,362
MB0922,3
MB1007,318
MB1013,717
MB109,4
MB1107,116
MB1109,8
MB1113,616
MB1205,403
MB1211,22
MB1213,36
MB1301,32
MB1302,86
MB1501,122
MB15B,12
MB1601,58
MB17,380
MB1701,165
MB17LA,125
MB1901,247
MB1995,7
MB2000,1
MB2005,23
MB2006,63
MB2007,212
MB2008,78
MB2009,261
MB2010,44
MB2011,27
MB2012,66
MB2013,306
MB2014,534
MB2015,1429
MB2016,603
MB2017,351
MB2018,274
MB2019,1203
MB2020,1119
MB229,668
MB231,149
MB232,235
MB233,777
MB242,3
MB263,38
MB274,3
MB293,17
MB305,533
MB3408,69
MB360,8
MB368,128
MB383,17
MB394,54
MB396,34
MB398,2
MB402,205
MB415,9
MB416,83
MB437,347
MB4604,18
MB464,88
MB468,2
MB490,136
MB501,516
MB509,8
MB5116,171
MB512,1118
MB5398,25
MB5410,43
MB5411,26
MB6115,435
MB615,71
MB6215,82
MB9410,10
MBAL06,4
MBAU06,15
MBAUG,94
MBBE07,67
MBBE09,15
MBD423,134
MBHD07,13
MBM,1
MBMV06,17
MBNCO,2
MBOCA,3
MBPC09,20
MBREC,14
MBSB09,14
MBSD07,69
MBSLS,2
MBST06,75
MBST17,20
PP0001,2
PP1992,28
PR0001,10
PR004,1
PR041,3
PR051,4
PR1986,4
PR1988,11
PR1990,52
PR1992,126
PR1994,167
PR1996,436
PR1998,345
PR2000,563
PR2002,638
PR2004,1617
PR2006,711
PR2007,3
PR2008,1663
PR2010,2546
PR2012,3717
PR2014,3570
PR2016,10573
PR2018,32421
PR2020,114494
PR2022,43791
PR2250,28
PR2259,4
PR2260,3
PR2270,9
PR2289,3
PR3105,20
PR320,1
PR3204,2
PR3293,2
PR3299,5
PR3398,1
PR8200,6
PR8229,1
PR8288,5
PR955,1
PR971,4
PR991,1
PRHC06,4
PRPC06,1
SP,165
SP'16,5
SP 389,139
SP000,15
SP0002,2
SP0003,1
SP0004,1
SP0006,9
SP0007,33
SP001,28
SP0012,14
SP0014,3
SP002,15
SP0041,1
SP0051,2
SP01,17
SP0101,18
SP0103,11
SP011,18
SP0111,9
SP0112,177
SP012,6
SP0121,5
SP0125,389
SP013,6
SP015,6
SP0197,5
SP02,1
SP0201,1
SP0202,3
SP0203,1
SP021,27
SP0212,2
SP0217,4
SP0218,119
SP0219,5
SP022,1
SP0222,10
SP0223,12
SP0279,1
SP0285,1
SP0291,4
SP0293,2
SP0296,4
SP0299,6
SP0301,14
SP0302,206
SP0304,7
SP0305,4
SP0306,4
SP031,8
SP0310,3
SP0316,16
SP0319,47
SP033,144
SP034,16
SP0388,18
SP0395,1
SP0399,2
SP0401,4
SP0402,1
SP0403,3
SP0405,43
SP0406,15
SP0408,10
SP041,6
SP0410,48
SP0417,37
SP0419,327
SP0421,197
SP0423,1
SP0425,3
SP043,114
SP0489,65
SP0493,84
SP0495,1
SP0497,1
SP0503,15
SP0505,43
SP051,228
SP0510,49
SP0512,15
SP0514,6
SP0517,107
SP0519,1
SP052,14
SP053,8
SP054,55
SP057,55
SP058,1
SP0583,2
SP059,1
SP0599,6
SP06,21
SP0604,1
SP0606,14
SP0607,162
SP0609,1
SP0614,16
SP0616,16
SP0688,1
SP0693,8
SP0696,1
SP0699,1
SP0709,7
SP0711,6
SP0717,14
SP0718,20
SP0792,3
SP0795,1
SP08,14
SP0801,35
SP0802,8
SP0805,15
SP0813,1
SP0815,52
